Cr,Co,Mo,W,Ta,Re,Al,B,C,Hf,Ni,Nb,Ti,ÎÂ¶È,Ó¦Á¦,shouming£¨h£©,suxing£¨%£©
6.7,7.9,1.65,5.2,6.3,2.8,6.3,0.005,0.05,0.15,62.945,0,0,1010,248,43.22,54
6.7,7.9,1.65,5.2,6.3,2.8,5.9,0.006,0.06,0.2,63.284,0,0,1010,248,36.42,54
6.7,7.9,1.65,5.2,6.6,3.2,6.2,0.004,0.04,0.1,62.406,0,0,1010,248,59,40
6.7,7.9,1.65,5.2,6.6,3.2,6.2,0.004,0.04,0.1,62.406,0,0,1010,248,78.37,37
7.2,7.1,1.5,5.2,6.3,3,5.9,0.006,0.05,0.1,63.644,0,0,1010,248,47.02,30
7.2,7.1,1.5,5.2,6.3,3,5.9,0.006,0.05,0.1,63.644,0,0,1010,248,53.88,28
6.7,7.1,4.8,1.35,5.9,6.3,2.8,0.004,0.04,0.1,64.906,0,0,1093,137,69.72,14
6.7,7.1,4.8,1.35,5.9,6.3,2.8,0.004,0.04,0.1,64.906,0,0,1093,137,72,13
6.7,7.1,4.8,1.35,6.2,6.5,3,0.005,0.05,0.15,64.145,0,0,1093,137,103.78,7.7
6.7,7.1,4.8,1.35,6.2,6.5,3,0.005,0.05,0.15,64.145,0,0,1093,137,90.13,6.2
6.7,7.1,4.8,1.35,6.3,6.6,3.2,0.006,0.06,0.2,63.684,0,0,1093,137,92.72,9.8
6.7,7.1,4.8,1.35,6.3,6.6,3.2,0.006,0.06,0.2,63.684,0,0,1093,137,130.33,15
6.7,7.5,5,1.5,6.2,6.3,2.8,0.006,0.06,0.2,63.734,0,0,1093,137,129.13,11
6.7,7.5,5,1.5,6.2,6.3,2.8,0.006,0.06,0.2,63.734,0,0,1093,137,136.48,8.3
6.7,7.5,5,1.5,6.3,6.5,3,0.004,0.04,0.1,63.356,0,0,1093,137,93.68,9.3
6.7,7.5,5,1.5,6.3,6.5,3,0.004,0.04,0.1,63.356,0,0,1093,137,136.53,11
6.7,7.5,1.5,5,6.6,3.2,5.9,0.005,0.05,0.15,63.395,0,0,1093,137,75.88,9.9
6.7,7.5,1.5,5,6.6,3.2,5.9,0.005,0.05,0.15,63.395,0,0,1093,137,57.13,8.6
6.7,7.9,1.65,5.2,6.3,2.8,6.3,0.005,0.05,0.15,62.945,0,0,1093,137,105.7,9.4
6.7,7.9,1.65,5.2,6.3,2.8,6.3,0.005,0.05,0.15,62.945,0,0,1093,137,101.63,6.1
6.7,7.9,1.65,5.2,6.3,2.8,6.3,0.005,0.05,0.15,62.945,0,0,1093,137,44.98,38
6.7,7.9,1.65,5.2,6.3,2.8,5.9,0.006,0.06,0.2,63.284,0,0,1093,137,52.83,36
6.7,7.9,1.65,5.2,6.6,3.2,6.2,0.004,0.04,0.1,62.406,0,0,1093,137,179.75,11
6.7,7.9,1.65,5.2,6.6,3.2,6.2,0.004,0.04,0.1,62.406,0,0,1093,137,120.25,7.2
7.2,7.1,1.5,5.2,6.3,3,5.9,0.006,0.05,0.1,63.644,0,0,1093,137,141.13,9
7.2,7.1,1.5,5.2,6.3,3,5.9,0.006,0.05,0.1,63.644,0,0,1093,137,163.62,8.3
6.505,9.57,0.615,6.425,6.455,2.95,5.65,0,0,0.12,60.815,0,1.015,980,250,314,32
6.505,9.57,0.615,6.425,6.455,2.95,5.65,0,0,0.12,60.815,0,1.015,1100,130,110,8.5
6.505,9.57,0.615,6.425,6.455,2.95,5.65,0,0,0.12,60.815,0,1.015,1050,190,98.8,20
6.505,9.57,0.615,6.425,6.455,2.95,5.65,0,0,0.12,60.815,0,1.015,850,650,93.9,21
6.505,9.57,0.615,6.425,6.455,2.95,5.65,0,0,0.12,60.815,0,1.015,980,250,374,22
6.505,9.57,0.615,6.425,6.455,2.95,5.65,0,0,0.12,60.815,0,1.015,1100,130,206,6
6.505,9.57,0.615,6.425,6.455,2.95,5.65,0,0,0.12,60.815,0,1.015,1050,190,85.8,18.5
6.505,9.57,0.615,6.425,6.455,2.95,5.65,0,0,0.12,60.815,0,1.015,850,650,95.6,12
6.49,9.6,0.63,6.405,6.485,2.945,5.595,0,0,0.0945,60.77,0,1.01,980,250,327,32
6.49,9.6,0.63,6.405,6.485,2.945,5.595,0,0,0.0945,60.77,0,1.01,1100,130,161,5.5
6.49,9.6,0.63,6.405,6.485,2.945,5.595,0,0,0.0945,60.77,0,1.01,1050,190,107,23.5
6.49,9.6,0.63,6.405,6.485,2.945,5.595,0,0,0.0945,60.77,0,1.01,850,650,137,21
6.49,9.6,0.63,6.405,6.485,2.945,5.595,0,0,0.0945,60.77,0,1.01,980,250,303,18
